	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation	Fraction
25	NM_001033551_5	Homo sapiens target of myb1-like 2 (chicken) (TOM1L2), transcript variant 1, mRNA|TOM1L2|frame-2			14.460222447876935	56.2	11.68	0.0					Related Proteins	NM_001082968_6	NM_001033551_5, NM_001082968_6	1	1	1	1	1	1	0	92	96.2406015037594	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C06_0
89	NM_001383_1	Homo sapiens DPH1 homolog (S. cerevisiae) (DPH1), mRNA|DPH1|frame-3			13.494120235825644	48.82	11.81	785.0785817463903					Related Proteins	Q8WZ82	NM_001383_1, Q8WZ82	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C06_0
213	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	118.29991929927083					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G07_0
247	XM_001717103_1	PREDICTED: Homo sapiens Similar to LOC166075 (LOC401097), mRNA|LOC401097|frame-2			5.249844758742672	100.0	38.78	289.7140880798469					Related Proteins	XM_001718562_1, XM_001718743_1	XM_001717103_1, XM_001718562_1, XM_001718743_1	1	1	1	1	1	1	1	4	98.8929889298893	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G07_0
118	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	114.7619172753166					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	1	1	49.23312883435583	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B02_0
38	NM_007146_8	Homo sapiens vascular endothelial zinc finger 1 (VEZF1), mRNA|VEZF1|frame-2			8.746493977607942	63.29	13.92	1679.6604953352853					Single Protein		NM_007146_8	1	1	1	1	1	1	3	5	97.27272727272728	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H07_0
44	NM_020808_4	Homo sapiens signal-induced proliferation-associated 1 like 2 (SIPA1L2), mRNA|SIPA1L2|frame-1			23.114766831778216	66.22	6.31	199.23900770493623					Single Protein		NM_020808_4	1	1	1	1	1	1	1	3	97.27272727272728	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H07_0
45	NM_001136505_1	Homo sapiens coiled-coil domain containing 79 (CCDC79), mRNA|CCDC79|frame-1			4.88270865919268	100.0	46.67	982.9124380110188					Single Protein		NM_001136505_1	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H07_0
12	NM_000031_4	Homo sapiens aminolevulinate, delta-, dehydratase (ALAD), mRNA|ALAD|frame-2			15.654929247540954	77.7	5.76	0.0					Single Protein		NM_000031_4	1	1	1	1	1	1	0	15	93.10344827586206	Doubtful	WAN100329_OT2_HS3NE_HCW_P2C04_0
19	NM_001143996_7	Homo sapiens oxoglutarate dehydrogenase-like (OGDHL), transcript variant 2, mRNA|OGDHL|frame-1			5.103678206479691	100.0	16.0	979.5111173502362					Related Proteins	NM_001143997_6, NM_018245_7	NM_001143996_7, NM_001143997_6, NM_018245_7	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2C04_0
47	NM_002753_3	Homo sapiens mitogen-activated protein kinase 10 (MAPK10), transcript variant 1, mRNA|MAPK10|frame-2			9.378639964815665	49.4	9.64	209.72769850642553					Related Proteins	NM_138980_4, NM_138981_3, NM_138982_3	NM_002753_3, NM_138980_4, NM_138981_3, NM_138982_3	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F01_0
60	NM_171999_1	Homo sapiens sal-like 3 (Drosophila) (SALL3), mRNA|SALL3|frame-3			57.14056098376901	100.0	3.53	175.48644160741725					Single Protein		NM_171999_1	1	1	1	1	1	1	11	23	95.81589958158996	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F01_0
98	NM_001080519_6	Homo sapiens BAH domain and coiled-coil containing 1 (BAHCC1), mRNA|BAHCC1|frame-3			5.416644966372139	100.0	43.64	312.68493231867075					Single Protein		NM_001080519_6	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F01_0
114	NM_199051_1	Homo sapiens family with sequence similarity 5, member C (FAM5C), mRNA|FAM5C|frame-3			5.037547903502791	100.0	34.04	365.9078995218487					Single Protein		NM_199051_1	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F01_0
198	NM_004193_4	Homo sapiens golgi-specific brefeldin A resistant guanine nucleotide exchange factor 1 (GBF1), mRNA|GBF1|frame-2			4.560216982510621	100.0	30.0	429.9417819381723					Single Protein		NM_004193_4	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F01_0
1	NM_139285_1	Homo sapiens growth arrest-specific 2 like 2 (GAS2L2), mRNA|GAS2L2|frame-3			9.422590071584468	60.0	17.65	719.8502805437198					Single Protein		NM_139285_1	1	1	1	1	1	1	2	9	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C10_0
137	NM_001024210_1	Homo sapiens S100 calcium binding protein A13 (S100A13), transcript variant 1, mRNA|S100A13|frame-3			5.511964432934371	100.0	33.33	2294.522769233107					Single Protein		NM_001024210_1	1	1	1	1	1	1	6	15	96.7948717948718	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C10_0
10	NM_178190_1	Homo sapiens ATPase inhibitory factor 1 (ATPIF1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA|ATPIF1|frame-2			11.50203278137025	100.0	10.0	216.32765638016357					Related Proteins	Q9UII2	NM_178190_1, Q9UII2	1	2	0	0	2	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C07_0
22	NM_001033551_5	Homo sapiens target of myb1-like 2 (chicken) (TOM1L2), transcript variant 1, mRNA|TOM1L2|frame-2			14.460222447876935	56.2	11.68	420.0537017090555					Related Proteins	NM_001082968_6	NM_001033551_5, NM_001082968_6	1	1	1	1	1	1	1	99	96.26168224299066	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C07_0
93	NM_001024210_1	Homo sapiens S100 calcium binding protein A13 (S100A13), transcript variant 1, mRNA|S100A13|frame-3			5.511964432934371	100.0	33.33	1802.7304698346964					Single Protein		NM_001024210_1	1	1	1	1	1	1	2	33	95.37037037037037	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C07_0
29	NM_001402_6	Homo sapiens eukaryotic translation elongation factor 1 alpha 1 (EEF1A1), mRNA|EEF1A1|frame-1			4.65228208486498	100.0	36.59	3003.957256968234					Single Protein		NM_001402_6	1	1	1	1	1	1	6	7	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B01_0
58	NM_001044385_2	Homo sapiens amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4 (ALS2CR4), transcript variant 1, mRNA|TMEM237|frame-1			11.506072137514327	66.67	10.19	2280.782361772178					Related Proteins	NM_152388_2	NM_001044385_2, NM_152388_2	1	1	1	1	1	1	8	8	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B01_0
89	NM_080738_1	Homo sapiens EDAR-associated death domain (EDARADD), transcript variant B, mRNA|EDARADD|frame-1			42.31468840831927	92.01	13.4	1654.5959156696497					Related Proteins	NM_145861_1	NM_080738_1, NM_145861_1	6	6	2	2	2	2	53	63	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B01_0
16	NM_152424_1	Homo sapiens family with sequence similarity 123B (FAM123B), mRNA|FAM123B|frame-1			6.4860207166856325	100.0	21.21	878.9686168714587					Single Protein		NM_152424_1	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A09_0
47	NM_021005_1	Homo sapiens nuclear receptor subfamily 2, group F, member 2 (NR2F2), transcript variant 1, mRNA|NR2F2|frame-3			4.716549924666901	28.57	0.0	0.0					Single Protein		NM_021005_1	0	1	1	0	1	0	0	2	98.4	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A09_0
111	XM_002342902_1	PREDICTED: Homo sapiens hypothetical protein LOC100287493 (LOC100287493), mRNA|LOC100287493|frame-2			9.747978999643749	44.57	11.96	630.5644425382204					Related Proteins	XM_002346160_1, XM_002347037_1	XM_002342902_1, XM_002346160_1, XM_002347037_1	1	1	1	1	1	1	1	4	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A09_0
113	NM_052877_1	Homo sapiens mediator complex subunit 8 (MED8), transcript variant 3, mRNA|MED8|frame-2			8.648315495652003	100.0	16.0	773.4923828468837					Related Proteins	NM_201542_1	NM_052877_1, NM_201542_1	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2A09_0
21	NM_152562_2	Homo sapiens cell division cycle associated 2 (CDCA2), mRNA|CDCA2|frame-1			4.446450819762321	100.0	27.5	0.0					Single Protein		NM_152562_2	1	1	1	1	1	1	0	4	96.95431472081218	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B03_0
53	NM_001702_4	Homo sapiens brain-specific angiogenesis inhibitor 1 (BAI1), mRNA|BAI1|frame-2			5.4526696501086205	100.0	18.18	992.7892856567935					Single Protein		NM_001702_4	1	1	1	1	1	1	2	2	97.9381443298969	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B03_0
113	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	113.75710564817427					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	0	0	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P2B03_0
61	NM_001001331_12	Homo sapiens ATPase, Ca++ transporting, plasma membrane 2 (ATP2B2), transcript variant 1, mRNA|ATP2B2|frame-3			7.485795023122342	100.0	24.24	709.4820553832163					Related Proteins	NM_001683_11	NM_001001331_12, NM_001683_11	1	1	1	1	1	1	2	11	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H06_0
67	NM_000263_6	Homo sapiens N-acetylglucosaminidase, alpha- (NAGLU), mRNA|NAGLU|frame-3			16.34592730083622	81.08	10.81	158.19532315977122					Single Protein		NM_000263_6	1	1	1	1	1	1	1	4	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H06_0
6	NM_003482_1	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia 2 (MLL2), mRNA|MLL2|frame-2			11.945215186215114	59.46	8.11	377.7551613264559					Single Protein		NM_003482_1	1	1	1	1	1	1	3	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
29	NM_014394_2	Homo sapiens growth hormone inducible transmembrane protein (GHITM), mRNA|GHITM|frame-2			8.189392293952576	60.87	17.39	120.44367462582652					Single Protein		NM_014394_2	1	1	1	1	1	1	1	4	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
87	NM_000533_3	Homo sapiens proteolipid protein 1 (PLP1), transcript variant 1, mRNA|PLP1|frame-2			4.653583456641311	29.27	19.51	810.7915657738566					Related Proteins	NM_001128834_5, NM_199478_2	NM_000533_3, NM_001128834_5, NM_199478_2	1	1	1	1	1	1	4	5	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
130	NM_020903_1	Homo sapiens ubiquitin specific peptidase 29 (USP29), mRNA|USP29|frame-1			5.11993307792365	100.0	66.67	184.680301092934					Single Protein		NM_020903_1	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
146	NM_031910_3	Homo sapiens C1q and tumor necrosis factor related protein 6 (C1QTNF6), transcript variant 1, mRNA|C1QTNF6|frame-1			9.552764506980322	100.0	23.33	184.680301092934					Single Protein		NM_031910_3	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
155	NM_001080471_5	Homo sapiens platelet endothelial aggregation receptor 1 (PEAR1), mRNA|PEAR1|frame-2			6.013060884628783	100.0	15.69	162.95320684670645					Single Protein		NM_001080471_5	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
174	NM_024529_1	Homo sapiens cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) (CDC73), mRNA|CDC73|frame-1			8.249361930744058	51.47	11.76	237.4461014052008					Single Protein		NM_024529_1	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
196	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	88.33	3.75	69.25511290985025					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
209	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	170.76603183250742					Related Proteins	P05204	NM_020810_8, P05204	1	1	0	0	1	1	3	4	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
214	NM_024742_8	Homo sapiens armadillo repeat containing 5 (ARMC5), transcript variant 2, mRNA|ARMC5|frame-1			21.69523319216062	51.43	7.62	30.11091865645663					Related Proteins	Q96C12	NM_024742_8, Q96C12	1	1	0	0	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E09_0
5	NM_012232_5	Homo sapiens polymerase I and transcript release factor (PTRF), mRNA|PTRF|frame-3			5.822801209313362	100.0	29.41	650.70272413593					Single Protein		NM_012232_5	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1C04_0
31	NM_001402_6	Homo sapiens eukaryotic translation elongation factor 1 alpha 1 (EEF1A1), mRNA|EEF1A1|frame-1			4.65228208486498	100.0	36.59	3596.8395354485247					Single Protein		NM_001402_6	1	1	1	1	1	1	8	13	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B02_0
49	NM_023068_1	Homo sapiens sialic acid binding Ig-like lectin 1, sialoadhesin (SIGLEC1), mRNA|SIGLEC1|frame-3			10.477576035827806	74.0	9.0	1106.0281571504213					Single Protein		NM_023068_1	1	1	1	1	1	1	6	14	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B02_0
90	NM_024099_3	Homo sapiens chromosome 11 open reading frame 48 (C11orf48), mRNA|C11orf48|frame-2			18.384384181741908	75.47	8.18	357.25559992501815					Single Protein		NM_024099_3	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H05_0
198	NM_001039380_3	Homo sapiens chromosome 10 open reading frame 25 (C10orf25), mRNA|C10orf25|frame-1			8.485680027765175	25.0	13.16	952.6815998000484					Single Protein		NM_001039380_3	1	1	1	1	1	1	2	2	95.74468085106383	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H05_0
23	NM_001101387_3	Homo sapiens phosphoinositide-interacting regulator of transient receptor potential channels (PIRT), mRNA|PIRT|frame-2			14.395292816814289	71.54	16.15	0.0					Single Protein		NM_001101387_3	1	1	1	1	1	1	0	8	11.997377622377625	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G05_0
148	NM_173502_4	Homo sapiens protease, serine, 36 (PRSS36), mRNA|PRSS36|frame-1			12.662126658545722	66.96	15.65	206.06270960215608					Single Protein		NM_173502_4	1	1	1	1	1	1	1	2	11.997377622377625	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G05_0
40	NM_006313_6	Homo sapiens ubiquitin specific peptidase 15 (USP15), mRNA|USP15|frame-3			5.680202870256332	100.0	19.15	365.31973270102446					Single Protein		NM_006313_6	1	1	1	1	1	1	2	31	97.44680851063829	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F03_0
79	NM_015995_7	Homo sapiens Kruppel-like factor 13 (KLF13), mRNA|KLF13|frame-2			8.171186396058756	60.0	11.25	715.4178098728396					Single Protein		NM_015995_7	1	1	1	1	1	1	4	8	97.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F03_0
86	NM_022475_2	Homo sapiens hedgehog interacting protein (HHIP), mRNA|HHIP|frame-3			6.948360784663411	100.0	22.41	444.05243371417635					Single Protein		NM_022475_2	1	1	1	1	1	1	3	4	97.52066115702479	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F03_0
96	NM_003155_6	Homo sapiens stanniocalcin 1 (STC1), mRNA|STC1|frame-1			7.499805496263324	100.0	20.9	256.26906622310673					Single Protein		NM_003155_6	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F03_0
112	NM_005572_2	Homo sapiens lamin A/C (LMNA), transcript variant 2, mRNA|LMNA|frame-2			28.992406170361672	100.0	5.06	66.80944527995389					Related Proteins	NM_170707_2, NM_170708_2	NM_005572_2, NM_170707_2, NM_170708_2	1	2	2	1	2	1	3	3	97.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F03_0
123	NM_001001417_1	Homo sapiens TBC1 domain family, member 3B (TBC1D3B), mRNA|TBC1D3B|frame-2			6.023134894790721	100.0	16.36	156.09115851771045					Single Protein		NM_001001417_1	1	1	1	1	1	1	1	5	97.5103734439834	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F03_0
201	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	235.2058553006596					Related Proteins	P05204	NM_020810_8, P05204	1	2	1	1	1	1	2	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F03_0
143	NM_001137601_1	Homo sapiens zinc finger and BTB domain containing 42 (ZBTB42), mRNA|ZBTB42|frame-2			9.046956383934186	100.0	12.94	197.28296084443542					Single Protein		NM_001137601_1	1	1	1	1	1	1	2	2	98.75	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E08_0
207	NM_017767_2	Homo sapiens solute carrier family 39 (zinc transporter), member 4 (SLC39A4), transcript variant 1, mRNA|SLC39A4|frame-3			15.437518847286102	76.39	18.06	76.22296214444096					Single Protein		NM_017767_2	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E08_0
213	NM_024742_8	Homo sapiens armadillo repeat containing 5 (ARMC5), transcript variant 2, mRNA|ARMC5|frame-1			21.69523319216062	51.43	7.62	60.75743359339497					Related Proteins	Q96C12	NM_024742_8, Q96C12	1	1	0	0	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1E08_0
19	NM_023068_1	Homo sapiens sialic acid binding Ig-like lectin 1, sialoadhesin (SIGLEC1), mRNA|SIGLEC1|frame-3			10.477576035827806	100.0	9.0	1558.8054508458945					Single Protein		NM_023068_1	1	1	1	1	1	1	7	65	93.33333333333333	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B03_0
27	XM_001723152_3	PREDICTED: Homo sapiens hypothetical protein LOC100131530 (LOC100131530), mRNA|LOC100131530|frame-1			5.4228370305099425	100.0	59.57	473.8010488893296					Related Proteins	XM_001725060_3, XM_001726701_3	XM_001723152_3, XM_001725060_3, XM_001726701_3	1	1	1	1	1	1	1	7	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1B03_0
3	NM_001025108_5	Homo sapiens AF4/FMR2 family, member 3 (AFF3), transcript variant 2, mRNA|AFF3|frame-1			4.968390898718342	100.0	46.51	2014.4935169458734					Related Proteins	NM_002285_5	NM_001025108_5, NM_002285_5	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1A09_0
39	NM_001025204_1	Homo sapiens U2 small nuclear RNA auxiliary factor 1 (U2AF1), transcript variant c, mRNA|U2AF1|frame-1			8.566125586707344	100.0	16.0	218.83335576520778					Related Proteins	Q01081, Q8WU68	NM_001025204_1, Q01081, Q8WU68	1	1	0	0	1	1	2	2	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H04_0
226	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	136.77084735325488					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100425_OT2_HS3NE_HCW_P1H04_0
44	NM_139279_11	Homo sapiens multiple coagulation factor deficiency 2 (MCFD2), mRNA|MCFD2|frame-1			5.284659434823181	100.0	25.58	287.03473008057114					Single Protein		NM_139279_11	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G04_0
99	NM_183359_1	Homo sapiens bromodomain containing 8 (BRD8), transcript variant 3, mRNA|BRD8|frame-2			17.552073302862077	100.0	8.44	80.14606099652313					Related Proteins	Q9H0E9	NM_183359_1, Q9H0E9	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G04_0
162	NM_004292_1	Homo sapiens Ras and Rab interactor 1 (RIN1), mRNA|RIN1|frame-3			7.419869810772043	100.0	11.59	178.87671584731248					Single Protein		NM_004292_1	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G04_0
188	NM_006260_6	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 3 (DNAJC3), mRNA|DNAJC3|frame-1			4.92787918515053	100.0	21.43	587.7377806411696					Single Protein		NM_006260_6	1	1	1	1	1	1	2	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G04_0
232	NM_000287_2	Homo sapiens peroxisomal biogenesis factor 6 (PEX6), mRNA|PEX6|frame-2			5.8189025847626015	100.0	28.0	246.84986786929122					Single Protein		NM_000287_2	1	1	1	1	1	1	1	2	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G04_0
246	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	102.85411161220468					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	1	2	2	1	2	1	2	3	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1G04_0
5	NM_001049_5	Homo sapiens somatostatin receptor 1 (SSTR1), mRNA|SSTR1|frame-2			10.542636991915092	100.0	22.55	254.5158443865343					Single Protein		NM_001049_5	1	1	1	1	1	1	2	17	98.96373056994818	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F02_0
53	NM_004562_3	Homo sapiens Parkinson disease (autosomal recessive, juvenile) 2, parkin (PARK2), transcript variant 1, mRNA|PARK2|frame-1			8.378027653213344	100.0	12.33	0.0					Related Proteins	NM_013987_3, NM_013988_3	NM_004562_3, NM_013987_3, NM_013988_3	1	2	2	1	2	1	0	8	66.66666666666667	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F02_0
80	NM_001080519_6	Homo sapiens BAH domain and coiled-coil containing 1 (BAHCC1), mRNA|BAHCC1|frame-3			5.416644966372139	100.0	43.64	2596.06161274265					Single Protein		NM_001080519_6	1	1	1	1	1	1	11	17	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F02_0
144	NM_001010865_1	Homo sapiens essential meiotic endonuclease 1 homolog 2 (S. pombe) (EME2), mRNA|EME2|frame-2			8.421091724756252	100.0	22.5	486.76155238924684					Single Protein		NM_001010865_1	1	1	1	1	1	1	3	4	99.47643979057592	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F02_0
166	NM_004193_4	Homo sapiens golgi-specific brefeldin A resistant guanine nucleotide exchange factor 1 (GBF1), mRNA|GBF1|frame-2			4.560216982510621	100.0	30.0	649.0154031856625					Single Protein		NM_004193_4	1	1	1	1	1	1	2	2	66.66666666666667	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F02_0
175	NM_017644_3	Homo sapiens kelch-like 24 (Drosophila) (KLHL24), mRNA|KLHL24|frame-3			11.54190266835961	100.0	10.2	264.90424619822954					Single Protein		NM_017644_3	1	1	1	1	1	1	2	2	60.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1F02_0
1	NM_014314_3	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 (DDX58), mRNA|DDX58|frame-1			5.928854891404462	43.14	37.25	0.0					Single Protein		NM_014314_3	1	1	1	1	1	1	0	1	82.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
26	NM_006494_1	Homo sapiens Ets2 repressor factor (ERF), mRNA|ERF|frame-1			16.772538077639396	80.0	6.0	349.8902230894515					Single Protein		NM_006494_1	1	1	1	1	1	1	1	1	99.21259842519686	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
30	NM_012079_8	Homo sapiens diacylglycerol O-acyltransferase homolog 1 (mouse) (DGAT1), mRNA|DGAT1|frame-1			18.9450780739834	83.33	4.6	0.0					Single Protein		NM_012079_8	1	1	1	1	1	1	0	1	82.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
74	NM_004976_17	Homo sapiens potassium voltage-gated channel, Shaw-related subfamily, member 1 (KCNC1), transcript variant B, mRNA|KCNC1|frame-3			11.829025053137519	51.38	9.17	0.0					Single Protein		NM_004976_17	1	1	1	1	1	1	0	1	82.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
88	NM_020347_2	Homo sapiens leucine zipper transcription factor-like 1 (LZTFL1), mRNA|LZTFL1|frame-2			4.71655797016946	100.0	31.71	0.0					Single Protein		NM_020347_2	1	1	1	1	1	1	0	1	82.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
93	NM_207467_2	Homo sapiens chromosome 1 open reading frame 220 (C1orf220), mRNA|C1orf220|frame-3			6.404204341398053	100.0	38.6	920.7637449722407					Single Protein		NM_207467_2	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
100	NM_145062_1	Homo sapiens zinc finger with UFM1-specific peptidase domain (ZUFSP), mRNA|ZUFSP|frame-3			8.47117312895311	100.0	30.67	0.0					Single Protein		NM_145062_1	1	1	1	1	1	1	0	1	82.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
115	NM_001136115_2	Homo sapiens F-box protein 28 (FBXO28), transcript variant 2, mRNA|FBXO28|frame-2			13.94748410097073	100.0	17.36	0.0					Related Proteins	Q9NVF7	NM_001136115_2, Q9NVF7	1	1	1	1	1	1	0	1	82.5	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
118	NM_030968_3	Homo sapiens C1q and tumor necrosis factor related protein 1 (C1QTNF1), transcript variant 1, mRNA|C1QTNF1|frame-3			4.765458483893551	48.94	51.06	0.0					Related Proteins	NM_198593_4, NM_198594_3	NM_030968_3, NM_198593_4, NM_198594_3	1	1	1	1	1	1	0	2	78.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
121	NM_003590_2	Homo sapiens cullin 3 (CUL3), mRNA|CUL3|frame-2			5.902997330524482	28.57	24.49	3748.8238188155515					Single Protein		NM_003590_2	1	1	1	1	1	1	1	1	100.0	Doubtful	WAN100329_OT2_HS3NE_HCW_P1H03_0
